season,team_id,group_id,group_name,min,net_rating,off_rating,def_rating,pace,minutes_bucket,net_rating_bucket,pace_bucket
2023-24,1610612738,-201143-204001-1627759-1628369-1628401-,A. Horford - K. Porzingis - J. Brown - J. Tatum - D. White,117.5,16.2,123.7,107.5,103.93,low,elite,fast
2023-24,1610612752,-1628392-1628404-1628978-1629628-1630193-,I. Hartenstein - J. Hart - D. DiVincenzo - R. Barrett - I. Quickley,116.3,8.2,110.6,102.3,103.6,low,good,fast
2023-24,1610612766,-203995-1628970-1630208-1630544-1641706-,V. Micic - M. Bridges - N. Richards - T. Mann - B. Miller,115.1,-8.9,111.8,120.7,92.2,low,poor,slow
2023-24,1610612765,-1630595-1631093-1631105-1631323-1641709-,C. Cunningham - J. Ivey - J. Duren - S. Fontecchio - A. Thompson,113.2,3.8,110.3,106.5,103.5,low,average,fast
2023-24,1610612757,-203924-1627763-1629028-1631101-1641739-,J. Grant - M. Brogdon - D. Ayton - S. Sharpe - T. Camara,112.6,-6.7,106.8,113.4,101.05,low,poor,fast
2023-24,1610612766,-203995-1628970-1629684-1630544-1641706-,V. Micic - M. Bridges - G. Williams - T. Mann - B. Miller,111.0,-16.6,109.3,125.8,102.26,low,poor,fast
2023-24,1610612748,-202710-1628389-1628997-1629639-1631107-,J. Butler - B. Adebayo - C. Martin - T. Herro - N. Jovic,109.4,1.9,115.9,114.0,95.23,low,average,average
2023-24,1610612752,-203944-1628404-1628973-1629011-1629656-,J. Randle - J. Hart - J. Brunson - M. Robinson - Q. Grimes,109.4,-12.2,99.6,111.8,97.44,low,poor,average
2023-24,1610612755,-202699-203954-1626162-1629001-1630178-,T. Harris - J. Embiid - K. Oubre Jr. - D. Melton - T. Maxey,108.7,1.3,119.7,118.3,105.72,low,average,very_fast
2023-24,1610612740,-202685-203468-1627742-1630529-1630530-,J. Valančiūnas - C. McCollum - B. Ingram - H. Jones - T. Murphy III,108.4,15.7,112.2,96.4,100.49,low,elite,fast
2023-24,1610612744,-201939-202691-1626172-1630228-1641764-,S. Curry - K. Thompson - K. Looney - J. Kuminga - B. Podziemski,108.2,-19.1,113.5,132.6,101.11,low,poor,fast
2023-24,1610612758,-203084-1627734-1628989-1630558-1631099-,H. Barnes - D. Sabonis - K. Huerter - D. Mitchell - K. Murray,106.1,-14.1,95.9,110.0,99.27,low,poor,average
2023-24,1610612750,-203497-1626157-1629638-1630162-1630183-,R. Gobert - K. Towns - N. Alexander-Walker - A. Edwards - J. McDaniels,105.9,6.4,122.8,116.4,98.33,low,good,average
2023-24,1610612738,-201143-201950-1628369-1630202-1630573-,A. Horford - J. Holiday - J. Tatum - P. Pritchard - S. Hauser,105.3,16.8,123.8,107.0,96.86,low,elite,average
2023-24,1610612754,-1626167-1627783-1629614-1630169-1631097-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,103.5,0.2,108.4,108.3,105.51,low,average,very_fast
2023-24,1610612737,-1627749-1629027-1630168-1630180-1630552-,D. Murray - T. Young - O. Okongwu - S. Bey - J. Johnson,103.5,0.5,119.9,119.4,105.09,low,average,very_fast
2023-24,1610612759,-1629640-1630170-1631103-1631110-1641705-,K. Johnson - D. Vassell - M. Branham - J. Sochan - V. Wembanyama,102.6,-2.6,101.3,103.9,106.87,low,average,very_fast
2023-24,1610612752,-203944-1628392-1628973-1628978-1629628-,J. Randle - I. Hartenstein - J. Brunson - D. DiVincenzo - R. Barrett,102.0,-10.4,117.0,127.4,104.27,low,poor,fast
2023-24,1610612761,-203471-1627751-1627783-1628384-1629018-,D. Schroder - J. Poeltl - P. Siakam - O. Anunoby - G. Trent Jr.,101.9,-15.1,100.4,115.5,104.84,low,poor,fast
2023-24,1610612766,-1628970-1628998-1630208-1630544-1641706-,M. Bridges - C. Martin - N. Richards - T. Mann - B. Miller,101.9,-6.6,102.4,109.0,98.26,low,poor,average
2023-24,1610612753,-203914-204060-1628371-1629021-1630175-,G. Harris - J. Ingles - J. Isaac - M. Wagner - C. Anthony,101.7,4.0,105.8,101.8,104.97,low,average,fast
2023-24,1610612760,-1628983-1629652-1630198-1631096-1631114-,S. Gilgeous-Alexander - L. Dort - I. Joe - C. Holmgren - J. Williams,101.4,16.0,122.3,106.3,110.04,low,elite,very_fast
2023-24,1610612753,-1629048-1629643-1630591-1631094-1631216-,G. Bitadze - C. Okeke - J. Suggs - P. Banchero - C. Houstan,101.1,-0.8,112.4,113.2,92.59,low,average,slow
2023-24,1610612747,-2544-203076-1627752-1629629-1630559-,L. James - A. Davis - T. Prince - C. Reddish - A. Reaves,100.6,-12.5,112.3,124.8,101.61,low,poor,fast
2023-24,1610612740,-203468-1626204-1629627-1630529-1630530-,C. McCollum - L. Nance Jr. - Z. Williamson - H. Jones - T. Murphy III,100.3,15.5,124.2,108.8,96.46,low,elite,average
2023-24,1610612765,-1630165-1630191-1630595-1631105-1641709-,K. Hayes - I. Stewart - C. Cunningham - J. Duren - A. Thompson,100.1,-10.1,101.8,112.0,104.02,low,poor,fast
2023-24,1610612762,-1628374-1628381-1629012-1641707-1641718-,L. Markkanen - J. Collins - C. Sexton - T. Hendricks - K. George,99.3,-3.2,109.3,112.5,104.17,low,average,fast
